type,algorithm,condition,N,V_bytes,K,T_ms
int,SelectionSort,Worst,50000,0,1250124997,1561.03
int,SelectionSort,Uniform,50000,0,1250124997,34655.1
int,ShellSort,Worst,10000,0,475148,0.107
int,ShellSort,Uniform,10000,0,651986,0.550118
int,ShellSort,Normal,10000,0,647043,0.509679
int,ShellSort,Best,10000,0,360015,0.067667
int,ShellSort,Worst,20000,0,1030268,0.211041
int,ShellSort,Uniform,20000,0,1497796,1.13568
int,ShellSort,Normal,20000,0,1483587,1.13427
int,ShellSort,Best,20000,0,780015,0.13125
int,ShellSort,Worst,50000,0,2844597,0.61125
int,ShellSort,Uniform,50000,0,4482575,4.41208
int,ShellSort,Normal,50000,0,4465279,3.64437
int,ShellSort,Best,50000,0,2100018,0.373416
int,ShellSort,Worst,100000,0,6089157,1.37008
int,ShellSort,Uniform,100000,0,10211548,8.02393
int,ShellSort,Normal,100000,0,10148358,8.15801
int,ShellSort,Best,100000,0,4500018,0.855458
int,ShellSort,Worst,200000,0,12978277,3.0145
int,ShellSort,Uniform,200000,0,23286075,17.8312
int,ShellSort,Normal,200000,0,23152485,19.4154
int,ShellSort,Best,200000,0,9600018,1.93988
int,ShellSort,Worst,500000,0,33857544,8.52579
int,ShellSort,Uniform,500000,0,66275789,53.9444
int,ShellSort,Normal,500000,0,66014130,46.7032
int,ShellSort,Best,500000,0,25500021,4.60954
int,ShellSort,Worst,1000000,0,71715048,16.2067
int,ShellSort,Uniform,1000000,0,152691982,103.758
int,ShellSort,Normal,1000000,0,152410003,103.87
int,ShellSort,Best,1000000,0,54000021,9.80425
int,RadixSort,Worst,10000,160000,170000,0.065708
int,RadixSort,Uniform,10000,200000,210000,0.103207
int,RadixSort,Normal,10000,200000,210000,0.110255
int,RadixSort,Best,10000,160000,170000,0.070958
int,RadixSort,Worst,20000,400000,420000,0.199084
int,RadixSort,Uniform,20000,400000,420000,0.184032
int,RadixSort,Normal,20000,400000,420000,0.224102
int,RadixSort,Best,20000,400000,420000,0.190333
int,RadixSort,Worst,50000,1000000,1050000,0.430709
int,RadixSort,Uniform,50000,1090000,1140000,0.536238
int,RadixSort,Normal,50000,1000000,1050000,0.47576
int,RadixSort,Best,50000,1000000,1050000,0.419958
int,RadixSort,Worst,100000,2000000,2100000,0.809292
int,RadixSort,Uniform,100000,2400000,2500000,1.20794
int,RadixSort,Normal,100000,2400000,2500000,1.27323
