type,algorithm,condition,N,V_bytes,K,T_ms
[double] 262/336 MultiThreadedMergeSort N=200000 Uniform ...  done
[double] 263/336 MultiThreadedMergeSort N=200000 Normal ...  done
[double] 264/336 MultiThreadedMergeSort N=200000 Best ...  done
[double] 265/336 MultiThreadedMergeSort N=500000 Worst ...  done
[double] 266/336 MultiThreadedMergeSort N=500000 Uniform ...  done
[double] 267/336 MultiThreadedMergeSort N=500000 Normal ...  done
[double] 268/336 MultiThreadedMergeSort N=500000 Best ...  done
[double] 269/336 MultiThreadedMergeSort N=1000000 Worst ...  done
[double] 270/336 MultiThreadedMergeSort N=1000000 Uniform ...  done
[double] 271/336 MultiThreadedMergeSort N=1000000 Normal ...  done
[double] 272/336 MultiThreadedMergeSort N=1000000 Best ...  done
[double] 273/336 MultiThreadedHeapSort N=10000 Worst ...  done
[double] 274/336 MultiThreadedHeapSort N=10000 Uniform ...  done
[double] 275/336 MultiThreadedHeapSort N=10000 Normal ...  done
[double] 276/336 MultiThreadedHeapSort N=10000 Best ...  done
[double] 277/336 MultiThreadedHeapSort N=20000 Worst ...  done
[double] 278/336 MultiThreadedHeapSort N=20000 Uniform ...  done
[double] 279/336 MultiThreadedHeapSort N=20000 Normal ...  done
[double] 280/336 MultiThreadedHeapSort N=20000 Best ...  done
[double] 281/336 MultiThreadedHeapSort N=50000 Worst ...  done
[double] 282/336 MultiThreadedHeapSort N=50000 Uniform ...  done
[double] 283/336 MultiThreadedHeapSort N=50000 Normal ...  done
[double] 284/336 MultiThreadedHeapSort N=50000 Best ...  done
[double] 285/336 MultiThreadedHeapSort N=100000 Worst ...  done
[double] 286/336 MultiThreadedHeapSort N=100000 Uniform ...  done
[double] 287/336 MultiThreadedHeapSort N=100000 Normal ...  done
[double] 288/336 MultiThreadedHeapSort N=100000 Best ...  done
[double] 289/336 MultiThreadedHeapSort N=200000 Worst ...  done
[double] 290/336 MultiThreadedHeapSort N=200000 Uniform ...  done
[double] 291/336 MultiThreadedHeapSort N=200000 Normal ...  done
[double] 292/336 MultiThreadedHeapSort N=200000 Best ...  done
[double] 293/336 MultiThreadedHeapSort N=500000 Worst ...  done
[double] 294/336 MultiThreadedHeapSort N=500000 Uniform ...  done
[double] 295/336 MultiThreadedHeapSort N=500000 Normal ...  done
[double] 296/336 MultiThreadedHeapSort N=500000 Best ...  done
[double] 297/336 MultiThreadedHeapSort N=1000000 Worst ...  done
[double] 298/336 MultiThreadedHeapSort N=1000000 Uniform ...  done
[double] 299/336 MultiThreadedHeapSort N=1000000 Normal ...  done
[double] 300/336 MultiThreadedHeapSort N=1000000 Best ...  done
[double] 301/336 MultiThreadedBubbleSort N=10000 Worst ...  done
[double] 302/336 MultiThreadedBubbleSort N=10000 Uniform ...  done
[double] MultiThreadedBubbleSort timeout, skipping N>=20000
